x,y
8.3,-0.695905
8.325,-0.667546
8.35,-0.639768
8.375,-0.612571
8.4,-0.585957
8.425,-0.55992
8.45,-0.534453
8.475,-0.509546
8.5,-0.485189
8.525,-0.461368
8.55,-0.43807
8.575,-0.41528
8.6,-0.392982
8.625,-0.371162
8.65,-0.349804
8.675,-0.328892
8.7,-0.308411
8.725,-0.288346
8.75,-0.268684
8.775,-0.249409
8.8,-0.230509
8.825,-0.21197
8.85,-0.193781
8.875,-0.17593
8.9,-0.158406
8.925,-0.1412
8.95,-0.124301
8.975,-0.107702
9,-0.0913947
9.025,-0.0753726
9.05,-0.0596297
9.075,-0.0441609
9.1,-0.0289623
9.125,-0.0140304
9.15,0.000637041
9.175,0.0150416
9.2,0.0291841
9.225,0.0430644
9.25,0.0566819
9.275,0.070035
9.3,0.0831219
9.325,0.09594
9.35,0.108486
9.375,0.120758
9.4,0.13275
9.425,0.14446
9.45,0.155884
9.475,0.167017
9.5,0.177856
9.525,0.188395
9.55,0.198632
9.575,0.208561
9.6,0.21818
9.625,0.227484
9.65,0.236469
9.675,0.245131
9.7,0.253467
9.725,0.261473
9.75,0.269144
9.775,0.276477
9.8,0.283468
9.825,0.290111
9.85,0.296403
9.875,0.302338
9.9,0.30791
9.925,0.313114
9.95,0.317941
9.975,0.322386
10,0.326439
10.025,0.33009
10.05,0.33333
10.075,0.336147
10.1,0.338528
10.125,0.340458
10.15,0.341922
10.175,0.342901
10.2,0.343377
10.225,0.343327
10.25,0.342728
10.275,0.341554
10.3,0.339775
10.325,0.337362
10.35,0.334279
10.375,0.33049
10.4,0.325954
10.425,0.320629
10.45,0.314468
10.475,0.307423
10.5,0.299442
10.525,0.290471
10.55,0.280456
10.575,0.269339
10.6,0.257065
10.625,0.24358
10.65,0.228833
10.675,0.212777
10.7,0.195373
10.725,0.176591
10.75,0.156413
10.775,0.134832
10.8,0.111859
10.825,0.0875156
10.85,0.0618422
10.875,0.0348924
10.9,0.00673296
10.925,-0.0225578
10.95,-0.0528925
10.975,-0.0841771
11,-0.116313
11.025,-0.149198
11.05,-0.182729
11.075,-0.216803
11.1,-0.251318
11.125,-0.286174
11.15,-0.321272
11.175,-0.356517
11.2,-0.391818
11.225,-0.427086
11.25,-0.462239
11.275,-0.4972
11.3,-0.531896
11.325,-0.56626
11.35,-0.600234
11.375,-0.633765
11.4,-0.666808
11.425,-0.699322
11.45,-0.731277
11.475,-0.762648
11.5,-0.793416
11.525,-0.823567
11.55,-0.853095
11.575,-0.881997
11.6,-0.910273
11.625,-0.937931
11.65,-0.964977
11.675,-0.991423
11.7,-1.01728
11.725,-1.04257
11.75,-1.06729
11.775,-1.09148
11.8,-1.11514
11.825,-1.13829
11.85,-1.16095
11.875,-1.18314
11.9,-1.20486
11.925,-1.22615
11.95,-1.24701
11.975,-1.26745
12,-1.2875
12.025,-1.30716
12.05,-1.32644
12.075,-1.34537
12.1,-1.36394
12.125,-1.38217
12.15,-1.40007
12.175,-1.41765
12.2,-1.4349
12.225,-1.45185
12.25,-1.46849
12.275,-1.48483
12.3,-1.50086
12.325,-1.5166
12.35,-1.53205
12.375,-1.5472
12.4,-1.56205
12.425,-1.5766
12.45,-1.59086
12.475,-1.60482
12.5,-1.61848
12.525,-1.63182
12.55,-1.64486
12.575,-1.65759
12.6,-1.66999
12.625,-1.68208
12.65,-1.69384
12.675,-1.70526
12.7,-1.71636
12.725,-1.72711
12.75,-1.73753
12.775,-1.74759
12.8,-1.75731
12.825,-1.76667
12.85,-1.77567
12.875,-1.7843
12.9,-1.79257
12.925,-1.80047
12.95,-1.80799
12.975,-1.81513
13,-1.82188
13.025,-1.82824
13.05,-1.8342
13.075,-1.83975
13.1,-1.84489
13.125,-1.8496
13.15,-1.85389
13.175,-1.85773
13.2,-1.86111
13.225,-1.86403
13.25,-1.86647
13.275,-1.8684
13.3,-1.86983
13.325,-1.87071
13.35,-1.87104
13.375,-1.87079
13.4,-1.86993
13.425,-1.86843
13.45,-1.86627
13.475,-1.8634
13.5,-1.8598
13.525,-1.85542
13.55,-1.85022
13.575,-1.84416
13.6,-1.83718
13.625,-1.82924
13.65,-1.82029
13.675,-1.81028
13.7,-1.79914
13.725,-1.78683
13.75,-1.7733
13.775,-1.75851
13.8,-1.74241
13.825,-1.72496
13.85,-1.70616
13.875,-1.68597
13.9,-1.66442
13.925,-1.6415
13.95,-1.61724
13.975,-1.5917
14,-1.56492
14.025,-1.53698
14.05,-1.50795
14.075,-1.47792
14.1,-1.44698
14.125,-1.41523
14.15,-1.38277
14.175,-1.34969
14.2,-1.31611
14.225,-1.28211
14.25,-1.24781
14.275,-1.21328
14.3,-1.17863
14.325,-1.14394
14.35,-1.1093
14.375,-1.07478
14.4,-1.04047
14.425,-1.00643
14.45,-0.972719
14.475,-0.939401
14.5,-0.906524
14.525,-0.874131
14.55,-0.842259
14.575,-0.810937
14.6,-0.78019
14.625,-0.750035
14.65,-0.720485
14.675,-0.691545
14.7,-0.663218
14.725,-0.635503
14.75,-0.608394
14.775,-0.581882
14.8,-0.555958
14.825,-0.530608
14.85,-0.50582
14.875,-0.481577
14.9,-0.457864
14.925,-0.434665
14.95,-0.411963
14.975,-0.389742
15,-0.367985
15.025,-0.346677
15.05,-0.325803
15.075,-0.305346
15.1,-0.285293
15.125,-0.26563
15.15,-0.246345
15.175,-0.227424
15.2,-0.208856
15.225,-0.190631
15.25,-0.172739
15.275,-0.155171
15.3,-0.137918
15.325,-0.120974
15.35,-0.104333
15.375,-0.087989
15.4,-0.0719379
15.425,-0.0561763
15.45,-0.0407017
15.475,-0.0255127
15.5,-0.0106082
15.525,0.00401147
15.55,0.0183457
15.575,0.032393
15.6,0.0461514
15.625,0.0596183
15.65,0.0727907
15.675,0.0856652
15.7,0.0982381
15.725,0.110506
15.75,0.122464
15.775,0.134108
15.8,0.145434
15.825,0.156439
15.85,0.167117
15.875,0.177465
15.9,0.187479
15.925,0.197154
15.95,0.206486
15.975,0.215472
16,0.224108
16.025,0.232388
16.05,0.24031
16.075,0.247868
16.1,0.255059
16.125,0.261876
16.15,0.268316
16.175,0.274371
16.2,0.280035
16.225,0.285302
16.25,0.290164
16.275,0.294612
16.3,0.298636
16.325,0.302225
16.35,0.305369
16.375,0.308053
16.4,0.310263
16.425,0.311982
16.45,0.313193
16.475,0.313876
16.5,0.314009
16.525,0.313567
16.55,0.312524
16.575,0.310851
16.6,0.308517
16.625,0.305487
16.65,0.301724
16.675,0.297188
16.7,0.291836
16.725,0.285622
16.75,0.278499
16.775,0.270415
16.8,0.261318
16.825,0.251155
16.85,0.239871
16.875,0.227413
16.9,0.213731
16.925,0.198778
16.95,0.182512
16.975,0.164899
17,0.145915
17.025,0.125548
17.05,0.103798
17.075,0.0806782
17.1,0.056219
17.125,0.0304636
17.15,0.00346918
17.175,-0.024695
17.2,-0.0539492
17.225,-0.0842058
17.25,-0.115371
17.275,-0.147346
17.3,-0.180031
17.325,-0.213325
17.35,-0.247126
17.375,-0.281335
17.4,-0.315853
17.425,-0.350584
17.45,-0.385435
17.475,-0.420318
17.5,-0.455147
17.525,-0.489843
17.55,-0.524331
17.575,-0.55854
17.6,-0.592409
17.625,-0.62588
17.65,-0.658903
17.675,-0.691435
17.7,-0.72344
17.725,-0.754888
17.75,-0.785755
17.775,-0.816024
17.8,-0.845685
17.825,-0.87473
17.85,-0.903158
17.875,-0.93097
17.9,-0.958174
17.925,-0.984776
17.95,-1.01079
17.975,-1.03622
18,-1.0611
18.025,-1.08542
18.05,-1.10922
18.075,-1.13249
18.1,-1.15527
18.125,-1.17757
18.15,-1.1994
18.175,-1.22079
18.2,-1.24174
18.225,-1.26226
18.25,-1.28239
18.275,-1.30212
18.3,-1.32148
18.325,-1.34047
18.35,-1.3591
18.375,-1.37739
18.4,-1.39535
18.425,-1.41298
18.45,-1.43029
18.475,-1.4473
18.5,-1.464
18.525,-1.48039
18.55,-1.4965
18.575,-1.51231
18.6,-1.52783
18.625,-1.54306
18.65,-1.55801
18.675,-1.57266
18.7,-1.58703
18.725,-1.60111
18.75,-1.61489
18.775,-1.62838
18.8,-1.64157
18.825,-1.65446
18.85,-1.66704
18.875,-1.67931
18.9,-1.69127
18.925,-1.70291
18.95,-1.71423
18.975,-1.72522
19,-1.73588
19.025,-1.74621
19.05,-1.7562
19.075,-1.76584
19.1,-1.77514
19.125,-1.78408
19.15,-1.79268
19.175,-1.80091
19.2,-1.80878
19.225,-1.81628
19.25,-1.8234
19.275,-1.83015
19.3,-1.83652
19.325,-1.8425
19.35,-1.84808
19.375,-1.85325
19.4,-1.85802
19.425,-1.86236
19.45,-1.86627
19.475,-1.86974
19.5,-1.87276
19.525,-1.87531
19.55,-1.87737
19.575,-1.87894
19.6,-1.87998
19.625,-1.88048
19.65,-1.88043
19.675,-1.87978
19.7,-1.87852
19.725,-1.87661
19.75,-1.87403
19.775,-1.87073
19.8,-1.86668
19.825,-1.86183
19.85,-1.85615
19.875,-1.84959
19.9,-1.84209
19.925,-1.83361
19.95,-1.8241
19.975,-1.81349
20,-1.80174
20.025,-1.7888
20.05,-1.77461
20.075,-1.75913
20.1,-1.74232
20.125,-1.72416
20.15,-1.70462
20.175,-1.6837
20.2,-1.6614
20.225,-1.63775
20.25,-1.61278
20.275,-1.58653
20.3,-1.55908
20.325,-1.53049
20.35,-1.50086
20.375,-1.47026
20.4,-1.43879
20.425,-1.40656
20.45,-1.37366
20.475,-1.3402
20.5,-1.30628
20.525,-1.27198
20.55,-1.23743
20.575,-1.20269
20.6,-1.16788
20.625,-1.13307
20.65,-1.09835
20.675,-1.06379
20.7,-1.02947
20.725,-0.995455
20.75,-0.961804
20.775,-0.928572
20.8,-0.895805
20.825,-0.863544
20.85,-0.831823
20.875,-0.800668
20.9,-0.770099
20.925,-0.740133
20.95,-0.710777
20.975,-0.682037
21,-0.653913
21.025,-0.6264
21.05,-0.599492
21.075,-0.57318
21.1,-0.547451
21.125,-0.522292
21.15,-0.497689
21.175,-0.473627
21.2,-0.450087
21.225,-0.427056
21.25,-0.404515
21.275,-0.382449
21.3,-0.360841
21.325,-0.339675
21.35,-0.318936
21.375,-0.29861
21.4,-0.278682
21.425,-0.259139
21.45,-0.239969
21.475,-0.221158
21.5,-0.202697
21.525,-0.184576
21.55,-0.166784
21.575,-0.149313
21.6,-0.132156
21.625,-0.115306
21.65,-0.0987584
21.675,-0.0825072
21.7,-0.0665491
21.725,-0.0508812
21.75,-0.0355016
21.775,-0.0204091
21.8,-0.00560355
21.825,0.00891464
21.85,0.0231443
21.875,0.0370836
21.9,0.0507301
21.925,0.0640811
21.95,0.0771332
21.975,0.089883
22,0.102327
22.025,0.11446
22.05,0.126279
22.075,0.13778
22.1,0.148957
22.125,0.159808
22.15,0.170328
22.175,0.180513
22.2,0.190358
22.225,0.19986
